step,time,strain_xx,stress_xx
276,0.0552,0.03,84.3426
277,0.0554,0.03,84.2959
278,0.0556,0.03,84.2494
279,0.0558,0.03,84.2032
280,0.056,0.03,84.1573
281,0.0562,0.03,84.1116
282,0.0564,0.03,84.0662
283,0.0566,0.03,84.021
284,0.0568,0.03,83.9761
285,0.057,0.03,83.9314
286,0.0572,0.03,83.887
287,0.0574,0.03,83.8428
288,0.0576,0.03,83.7989
289,0.0578,0.03,83.7552
290,0.058,0.03,83.7118
291,0.0582,0.03,83.6686
292,0.0584,0.03,83.6256
293,0.0586,0.03,83.5829
294,0.0588,0.03,83.5404
295,0.059,0.03,83.4981
296,0.0592,0.03,83.4561
297,0.0594,0.03,83.4143
298,0.0596,0.03,83.3727
299,0.0598,0.03,83.3313
300,0.06,0.03,83.2902
301,0.0602,0.03,83.2493
302,0.0604,0.03,83.2086
303,0.0606,0.03,83.1681
304,0.0608,0.03,83.1278
305,0.061,0.03,83.0878
306,0.0612,0.03,83.0479
307,0.0614,0.03,83.0083
308,0.0616,0.03,82.9689
309,0.0618,0.03,82.9297
310,0.062,0.03,82.8907
311,0.0622,0.03,82.8519
312,0.0624,0.03,82.8133
313,0.0626,0.03,82.7748
314,0.0628,0.03,82.7366
315,0.063,0.03,82.6986
316,0.0632,0.03,82.6608
317,0.0634,0.03,82.6232
318,0.0636,0.03,82.5858
319,0.0638,0.03,82.5486
320,0.064,0.03,82.5115
321,0.0642,0.03,82.4747
322,0.0644,0.03,82.438
323,0.0646,0.03,82.4015
324,0.0648,0.03,82.3652
325,0.065,0.03,82.3291
326,0.0652,0.03,82.2932
327,0.0654,0.03,82.2575
328,0.0656,0.03,82.2219
329,0.0658,0.03,82.1865
330,0.066,0.03,82.1513
331,0.0662,0.03,82.1163
332,0.0664,0.03,82.0814
333,0.0666,0.03,82.0467
334,0.0668,0.03,82.0122
335,0.067,0.03,81.9779
336,0.0672,0.03,81.9437
337,0.0674,0.03,81.9097
338,0.0676,0.03,81.8758
339,0.0678,0.03,81.8422
340,0.068,0.03,81.8087
341,0.0682,0.03,81.7753
342,0.0684,0.03,81.7421
343,0.0686,0.03,81.7091
344,0.0688,0.03,81.6763
345,0.069,0.03,81.6435
346,0.0692,0.03,81.611
347,0.0694,0.03,81.5786
348,0.0696,0.03,81.5464
349,0.0698,0.03,81.5143
350,0.07,0.03,81.4824
351,0.0702,0.03,81.4506
352,0.0704,0.03,81.419
353,0.0706,0.03,81.3875
354,0.0708,0.03,81.3562
355,0.071,0.03,81.325
356,0.0712,0.03,81.294
357,0.0714,0.03,81.2631
358,0.0716,0.03,81.2324
359,0.0718,0.03,81.2018
360,0.072,0.03,81.1713
361,0.0722,0.03,81.141
362,0.0724,0.03,81.1109
363,0.0726,0.03,81.0808
364,0.0728,0.03,81.051
365,0.073,0.03,81.0212
366,0.0732,0.03,80.9916
367,0.0734,0.03,80.9621
368,0.0736,0.03,80.9328
369,0.0738,0.03,80.9036
370,0.074,0.03,80.8745
371,0.0742,0.03,80.8456
372,0.0744,0.03,80.8168
373,0.0746,0.03,80.7881
374,0.0748,0.03,80.7596
375,0.075,0.03,80.7312
376,0.0752,0.03,80.7029
377,0.0754,0.03,80.6747
378,0.0756,0.03,80.6467
379,0.0758,0.03,80.6188
380,0.076,0.03,80.591
381,0.0762,0.03,80.5634
382,0.0764,0.03,80.5359
383,0.0766,0.03,80.5085
384,0.0768,0.03,80.4812
385,0.077,0.03,80.454
386,0.0772,0.03,80.427
387,0.0774,0.03,80.4001
388,0.0776,0.03,80.3733
389,0.0778,0.03,80.3466
390,0.078,0.03,80.32
391,0.0782,0.03,80.2936
392,0.0784,0.03,80.2672
393,0.0786,0.03,80.241
394,0.0788,0.03,80.2149
395,0.079,0.03,80.1889
396,0.0792,0.03,80.1631
