step,strain,p,p_over_p_eq
233,0.015,1.5268e+07,2.56634
234,0.015,1.52581e+07,2.56468
235,0.015,1.52483e+07,2.56302
236,0.015,1.52385e+07,2.56138
237,0.015,1.52287e+07,2.55974
238,0.015,1.5219e+07,2.55811
239,0.015,1.52094e+07,2.55648
240,0.015,1.51998e+07,2.55487
241,0.015,1.51902e+07,2.55326
242,0.015,1.51807e+07,2.55166
243,0.015,1.51712e+07,2.55006
244,0.015,1.51617e+07,2.54848
245,0.015,1.51523e+07,2.5469
246,0.015,1.5143e+07,2.54532
247,0.015,1.51337e+07,2.54376
248,0.015,1.51244e+07,2.5422
249,0.015,1.51152e+07,2.54065
250,0.015,1.5106e+07,2.53911
251,0.015,1.50968e+07,2.53757
252,0.015,1.50877e+07,2.53604
253,0.015,1.50787e+07,2.53451
254,0.015,1.50696e+07,2.533
255,0.015,1.50607e+07,2.53149
256,0.015,1.50517e+07,2.52998
257,0.015,1.50428e+07,2.52848
258,0.015,1.50339e+07,2.52699
259,0.015,1.50251e+07,2.52551
260,0.015,1.50163e+07,2.52403
261,0.015,1.50075e+07,2.52256
262,0.015,1.49988e+07,2.52109
263,0.015,1.49901e+07,2.51963
264,0.015,1.49815e+07,2.51818
265,0.015,1.49729e+07,2.51673
266,0.015,1.49643e+07,2.51529
267,0.015,1.49558e+07,2.51386
268,0.015,1.49473e+07,2.51243
269,0.015,1.49388e+07,2.511
270,0.015,1.49304e+07,2.50959
271,0.015,1.4922e+07,2.50818
272,0.015,1.49136e+07,2.50677
273,0.015,1.49053e+07,2.50537
274,0.015,1.4897e+07,2.50398
275,0.015,1.48887e+07,2.50259
276,0.015,1.48805e+07,2.50121
277,0.015,1.48723e+07,2.49983
278,0.015,1.48642e+07,2.49846
279,0.015,1.4856e+07,2.49709
280,0.015,1.48479e+07,2.49573
281,0.015,1.48399e+07,2.49438
282,0.015,1.48318e+07,2.49303
283,0.015,1.48239e+07,2.49168
284,0.015,1.48159e+07,2.49034
285,0.015,1.4808e+07,2.48901
286,0.015,1.48e+07,2.48768
287,0.015,1.47922e+07,2.48636
288,0.015,1.47843e+07,2.48504
289,0.015,1.47765e+07,2.48373
290,0.015,1.47687e+07,2.48242
291,0.015,1.4761e+07,2.48112
292,0.015,1.47533e+07,2.47982
293,0.015,1.47456e+07,2.47853
294,0.015,1.47379e+07,2.47724
295,0.015,1.47303e+07,2.47596
296,0.015,1.47227e+07,2.47468
297,0.015,1.47151e+07,2.47341
298,0.015,1.47076e+07,2.47214
299,0.015,1.47001e+07,2.47088
300,0.015,1.46926e+07,2.46962
301,0.015,1.46851e+07,2.46836
302,0.015,1.46777e+07,2.46712
303,0.015,1.46703e+07,2.46587
304,0.015,1.46629e+07,2.46463
305,0.015,1.46556e+07,2.4634
306,0.015,1.46482e+07,2.46217
307,0.015,1.4641e+07,2.46094
308,0.015,1.46337e+07,2.45972
309,0.015,1.46264e+07,2.4585
310,0.015,1.46192e+07,2.45729
311,0.015,1.4612e+07,2.45608
312,0.015,1.46049e+07,2.45488
313,0.015,1.45978e+07,2.45368
314,0.015,1.45906e+07,2.45248
315,0.015,1.45836e+07,2.45129
316,0.015,1.45765e+07,2.45011
317,0.015,1.45695e+07,2.44892
318,0.015,1.45625e+07,2.44775
319,0.015,1.45555e+07,2.44657
320,0.015,1.45485e+07,2.4454
321,0.015,1.45416e+07,2.44424
322,0.015,1.45347e+07,2.44308
323,0.015,1.45278e+07,2.44192
324,0.015,1.45209e+07,2.44077
325,0.015,1.45141e+07,2.43962
326,0.015,1.45073e+07,2.43847
327,0.015,1.45005e+07,2.43733
328,0.015,1.44937e+07,2.43619
329,0.015,1.4487e+07,2.43506
330,0.015,1.44803e+07,2.43393
331,0.015,1.44736e+07,2.43281
